dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
Mushroom,PSF-CE,1,3916.0,0.6876736231559265,1.989082800520803,2.0,0.5522642151855636,0.4477357848144365
Mushroom,RANGE,0,4208.0,0.5790992391304249,1.7872723055427002,2.0,0.7240177439797212,0.27598225602027887
Mushroom,RANGE,1,3916.0,0.6242730237183193,1.8743635272136707,2.0,0.6340653728294178,0.36593462717058217
Mushroom,YACHT,0,4208.0,0.6669109034908606,1.9482310043840474,2.0,0.6135931558935361,0.38640684410646386
Mushroom,YACHT,1,3916.0,0.6736895422830712,1.9618736809274508,2.0,0.5844399046646237,0.4155600953353762
ORL,CEHM,0,10.0,0.9767313641770143,2.6647090999722365,3.0,0.5,0.3333333333333333
ORL,CEHM,1,10.0,0.0,1.0,1.0,1.0,0.0
ORL,CEHM,2,10.0,0.5940157186350562,1.990334698870002,2.3333333333333335,0.7000000000000001,0.2333333333333333
ORL,CEHM,3,10.0,0.7765475844829766,2.1895225358051853,2.3333333333333335,0.5,0.4666666666666666
ORL,CEHM,4,10.0,0.738167135713856,2.1004021742927153,2.6666666666666665,0.6999999999999998,0.2333333333333333
ORL,CEHM,5,10.0,0.0,1.0,1.0,1.0,0.0
ORL,CEHM,6,10.0,0.6108643020548935,1.8420227750373133,2.0,0.6999999999999998,0.3
ORL,CEHM,7,10.0,0.706991474368336,2.097752226747994,2.6666666666666665,0.7000000000000001,0.2333333333333333
ORL,CEHM,8,10.0,0.3250829733914482,1.3841454884616862,2.0,0.9,0.10000000000000002
ORL,CEHM,9,10.0,0.9295547509151136,2.55171718880719,3.3333333333333335,0.6333333333333333,0.2333333333333333
ORL,CEHM,10,10.0,0.0,1.0,1.0,1.0,0.0
