dataset,method,ACC,NMI,ARI,F1
Amazon Computers,YACHT,0.32666763622261002,0.25401512801832904,0.1626266410018298,0.25271370705227464
Amazon Photo,AggregatePower,0.59093681917211327,0.54000645603553787,0.3696840665796941,0.52131334483483249
Amazon Photo,CA,0.59137254901960778,0.54003045914808701,0.36969440304049178,0.52107095224685851
Amazon Photo,CEHM,0.58884531590413947,0.55435279422724193,0.35768915525259271,0.5230390133038324
Amazon Photo,LinearPair,0.59037037037037043,0.54445623496460671,0.36528543680336273,0.52152249273152995
Amazon Photo,PSF-CE,0.5912854030501089,0.539975141280013,0.36963554052199443,0.52096068877612411
Amazon Photo,Poly2,0.59037037037037043,0.54445623496460671,0.36528543680336273,0.52152249273152995
Amazon Photo,RANGE,0.50265795206971675,0.40931754604366621,0.29597674165215682,0.49931297755780918
Amazon Photo,YACHT,0.453115468409586,0.38973277730458727,0.26398387052777927,0.41874649964854677
BBC News Sport,AggregatePower,0.45680687471732245,0.29907391974641762,0.14119166610786305,0.4232844789713423
BBC News Sport,CA,0.45680687471732245,0.29907391974641762,0.14119166610786305,0.4232844789713423
BBC News Sport,CEHM,0.41655359565807321,0.1727795518139216,0.033894413689792964,0.25857578432659462
BBC News Sport,LinearPair,0.44776119402985071,0.26123634594705919,0.10620436659109249,0.40743922069074845
BBC News Sport,PSF-CE,0.40298507462686567,0.20849180207468362,0.062491966148296864,0.34476133245059493
BBC News Sport,Poly2,0.44776119402985071,0.26123634594705919,0.10620436659109249,0.40743922069074845
BBC News Sport,RANGE,0.52193577566711891,0.37818944575156621,0.24058520649207349,0.56207543080759337
BBC News Sport,YACHT,0.49886928991406604,0.34112843440705548,0.2136961094850536,0.5328494997045804
BBC-MV,AggregatePower,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
BBC-MV,CA,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
BBC-MV,CEHM,0.32992700729926999,0.0020589815173635002,5.5417121519399999e-05,0.10076421632053596
BBC-MV,LinearPair,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
BBC-MV,PSF-CE,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
BBC-MV,Poly2,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
BBC-MV,RANGE,0.34063260340632601,0.087124951871655157,0.077321855963586206,0.31863443156054355
BBC-MV,YACHT,0.34987834549878344,0.093675555575852762,0.05671357022629827,0.3115787521771356
BBCSport-MV,AggregatePower,0.4889705882352941,0.25478614206899097,0.087730884218155794,0.34565232358333559
BBCSport-MV,CA,0.4889705882352941,0.25478614206899097,0.087730884218155794,0.34565232358333559
BBCSport-MV,CEHM,0.3547794117647059,0,0,0.1047489823609226
BBCSport-MV,LinearPair,0.4889705882352941,0.25478614206899097,0.087730884218155794,0.34565232358333559
BBCSport-MV,PSF-CE,0.4889705882352941,0.25478614206899097,0.087730884218155794,0.34565232358333559
BBCSport-MV,Poly2,0.4889705882352941,0.25478614206899097,0.087730884218155794,0.34565232358333559
BBCSport-MV,RANGE,0.52083333333333337,0.31083803509517738,0.23372341785422326,0.5038641134079721
BBCSport-MV,YACHT,0.34375,0.087767988582065595,0.060778939275446399,0.32744351745566852
COIL100,AggregatePower,0.52328703703703705,0.78526863670600588,0.42479724860026408,0.50010123516692218
COIL100,CA,0.52328703703703705,0.78526863670600588,0.42479724860026408,0.50010123516692218
COIL100,CEHM,0.49643518518518515,0.78143876790538125,0.38146623245137862,0.45663916854804842
COIL100,LinearPair,0.51916666666666667,0.78189411003236708,0.40151776015209589,0.49685638862275089
COIL100,PSF-CE,0.5241203703703704,0.78531289978920704,0.42756667958109867,0.50143262215659301
COIL100,Poly2,0.51916666666666667,0.78189411003236708,0.40151776015209589,0.49685638862275089
COIL100,RANGE,0.57430555555555551,0.78790508775539791,0.52222825564053987,0.56548956422094998
COIL100,YACHT,0.56194444444444447,0.78028763345309393,0.50584781523042055,0.54677237554084512
COIL20,AggregatePower,0.70347222222222217,0.81639038784901252,0.65702615381817575,0.68901853767106436
